a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,code_sondage,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
Non,0,2,1,00000992,17,3,Infra & Cloud,Y,Aucun,6,0
Oui,0,5,1,00000994,10,3,Infra & Cloud,Y,Occasionnel,0,0
Non,0,4,1,00000995,13,1,Infra & Cloud,Y,Occasionnel,0,2
Non,2,2,1,00000996,1,4,Transformation Digitale,Y,Occasionnel,0,2
Non,1,1,1,00000997,1,2,Transformation Digitale,Y,Occasionnel,1,3
Non,1,2,1,00000998,1,4,Autre,Y,Frequent,1,2
Non,1,2,1,00000999,9,3,Transformation Digitale,Y,Frequent,0,11
Non,1,2,1,000001001,16,4,Entrepreunariat,Y,Occasionnel,2,2
Non,1,2,1,000001002,23,2,Infra & Cloud,Y,Aucun,0,8
Non,0,0,1,000001003,4,2,Infra & Cloud,Y,Occasionnel,0,7
Oui,0,2,1,000001004,22,3,Infra & Cloud,Y,Occasionnel,0,1
Non,1,2,1,000001005,24,3,Infra & Cloud,Y,Occasionnel,1,5
Non,1,0,1,000001006,10,1,Transformation Digitale,Y,Frequent,0,2
Non,1,3,1,000001007,7,2,Transformation Digitale,Y,Occasionnel,0,7
Non,2,6,1,000001009,17,1,Transformation Digitale,Y,Occasionnel,3,2
Oui,1,2,1,000001010,14,4,Autre,Y,Occasionnel,0,2
Non,1,1,1,000001011,1,1,Infra & Cloud,Y,Frequent,0,3
Non,0,2,1,000001012,5,2,Infra & Cloud,Y,Aucun,0,0
Non,1,2,1,000001013,17,3,Entrepreunariat,Y,Occasionnel,0,8
Non,1,3,1,000001014,25,4,Transformation Digitale,Y,Occasionnel,10,1
Non,3,4,1,000001015,8,2,Infra & Cloud,Y,Occasionnel,1,7
Oui,0,2,1,000001016,11,3,Transformation Digitale,Y,Occasionnel,0,0
Oui,0,3,1,000001017,5,3,Transformation Digitale,Y,Frequent,1,2
Non,0,2,1,000001018,2,2,Transformation Digitale,Y,Occasionnel,1,3
Non,1,3,1,000001019,8,1,Infra & Cloud,Y,Occasionnel,1,1
Non,0,0,1,000001022,6,3,Infra & Cloud,Y,Occasionnel,2,2
Non,0,3,1,000001024,4,4,Infra & Cloud,Y,Occasionnel,4,8
Non,0,6,1,000001025,7,2,Transformation Digitale,Y,Occasionnel,2,1
Non,1,3,1,000001026,1,1,Infra & Cloud,Y,Occasionnel,11,8
Non,1,2,1,000001027,2,4,Infra & Cloud,Y,Occasionnel,2,2
Non,1,4,1,000001028,10,3,Autre,Y,Occasionnel,1,2
Non,0,3,1,000001029,5,2,Marketing,Y,Occasionnel,0,0
Non,0,5,1,000001030,9,3,Infra & Cloud,Y,Occasionnel,0,0
Non,0,4,1,000001032,2,3,Infra & Cloud,Y,Occasionnel,4,3
Oui,0,2,1,000001033,11,2,Transformation Digitale,Y,Occasionnel,0,0
Non,2,3,1,000001034,18,4,Transformation Digitale,Y,Frequent,6,7
Non,2,3,1,000001035,7,1,Infra & Cloud,Y,Aucun,5,10
Non,0,1,1,000001036,3,4,Infra & Cloud,Y,Occasionnel,0,0
Oui,0,6,1,000001037,29,2,Transformation Digitale,Y,Aucun,2,2
Oui,1,3,1,000001038,2,1,Marketing,Y,Occasionnel,6,9
Non,1,2,1,000001039,28,3,Transformation Digitale,Y,Occasionnel,11,11
Non,1,3,1,000001040,1,3,Infra & Cloud,Y,Aucun,0,13
Oui,0,1,1,000001042,16,4,Infra & Cloud,Y,Occasionnel,15,14
Non,0,2,1,000001043,22,3,Transformation Digitale,Y,Frequent,2,8
Non,0,2,1,000001044,8,1,Infra & Cloud,Y,Aucun,2,2
Non,1,4,1,000001045,11,2,Infra & Cloud,Y,Occasionnel,1,1
Non,0,2,1,000001046,29,4,Transformation Digitale,Y,Aucun,7,7
Non,1,2,1,000001047,1,4,Marketing,Y,Occasionnel,0,9
Non,1,1,1,000001048,1,2,Entrepreunariat,Y,Occasionnel,0,4
Non,0,3,1,000001049,24,4,Transformation Digitale,Y,Occasionnel,0,4
Non,1,2,1,000001050,2,3,Marketing,Y,Frequent,6,12
Oui,1,3,1,000001052,15,3,Autre,Y,Occasionnel,0,0
Oui,1,2,1,000001053,2,3,Infra & Cloud,Y,Frequent,1,2
Non,1,2,1,000001055,10,4,Infra & Cloud,Y,Occasionnel,0,0
Non,0,5,1,000001056,10,1,Transformation Digitale,Y,Occasionnel,0,0
Non,1,2,1,000001060,3,4,Autre,Y,Frequent,2,2
Non,1,2,1,000001061,2,4,Transformation Digitale,Y,Occasionnel,7,7
Non,0,3,1,000001062,3,3,Autre,Y,Occasionnel,0,1
Non,1,3,1,000001066,26,3,Marketing,Y,Occasionnel,7,5
Non,2,5,1,000001068,1,1,Transformation Digitale,Y,Frequent,1,3
Non,2,0,1,000001069,1,4,Transformation Digitale,Y,Occasionnel,2,2
Non,1,4,1,000001070,2,4,Infra & Cloud,Y,Occasionnel,7,0
Non,1,4,1,000001071,9,3,Transformation Digitale,Y,Frequent,0,3
Non,0,2,1,000001073,12,5,Transformation Digitale,Y,Occasionnel,7,8
Non,0,3,1,000001074,2,1,Transformation Digitale,Y,Aucun,6,2
Non,1,5,1,000001076,25,3,Transformation Digitale,Y,Occasionnel,0,0
Oui,0,3,1,000001077,9,3,Marketing,Y,Frequent,0,2
Oui,0,6,1,000001079,10,3,Infra & Cloud,Y,Occasionnel,1,0
Non,3,2,1,000001080,8,4,Infra & Cloud,Y,Occasionnel,1,7
Oui,3,2,1,000001081,4,4,Infra & Cloud,Y,Occasionnel,2,7
Oui,0,2,1,000001082,24,2,Entrepreunariat,Y,Aucun,1,9
Non,2,2,1,000001083,1,2,Transformation Digitale,Y,Occasionnel,1,3
Non,1,1,1,000001084,20,3,Autre,Y,Occasionnel,0,2
Non,0,3,1,000001085,7,2,Entrepreunariat,Y,Occasionnel,0,8
Non,1,4,1,000001088,17,1,Infra & Cloud,Y,Occasionnel,1,9
Non,1,6,1,000001092,20,4,Entrepreunariat,Y,Occasionnel,11,1
Non,3,4,1,000001094,8,5,Infra & Cloud,Y,Aucun,1,2
Non,1,4,1,000001096,2,1,Infra & Cloud,Y,Frequent,1,2
Non,0,4,1,000001097,10,3,Autre,Y,Occasionnel,1,7
Oui,1,1,1,000001098,1,2,Transformation Digitale,Y,Occasionnel,3,6
Non,1,2,1,000001099,5,3,Infra & Cloud,Y,Occasionnel,1,2
Oui,0,2,1,000001100,4,3,Entrepreunariat,Y,Occasionnel,4,7
Oui,0,4,1,000001101,29,4,Transformation Digitale,Y,Frequent,3,8
Non,1,5,1,000001102,15,2,Infra & Cloud,Y,Occasionnel,2,2
Non,0,1,1,000001103,3,1,Infra & Cloud,Y,Frequent,0,4
Non,3,5,1,000001105,10,4,Infra & Cloud,Y,Occasionnel,0,0
Oui,1,3,1,000001106,4,1,Entrepreunariat,Y,Occasionnel,5,6
Oui,1,0,1,000001107,21,3,Transformation Digitale,Y,Occasionnel,0,0
Oui,0,0,1,000001108,25,3,Transformation Digitale,Y,Occasionnel,2,2
Non,1,3,1,000001109,2,2,Transformation Digitale,Y,Occasionnel,13,7
Oui,2,2,1,000001111,1,3,Transformation Digitale,Y,Frequent,0,0
Oui,0,4,1,000001113,1,4,Autre,Y,Frequent,0,0
Non,1,3,1,000001114,7,3,Infra & Cloud,Y,Frequent,0,2
Non,3,2,1,000001115,3,4,Infra & Cloud,Y,Aucun,0,0
Non,0,3,1,000001116,1,4,Transformation Digitale,Y,Aucun,2,1
Non,1,2,1,000001117,9,4,Infra & Cloud,Y,Aucun,4,12
Non,0,4,1,000001118,7,4,Infra & Cloud,Y,Occasionnel,4,0
Non,2,2,1,000001119,10,4,Marketing,Y,Occasionnel,2,7
Non,1,1,1,000001120,28,4,Infra & Cloud,Y,Occasionnel,1,7
Non,3,3,1,000001121,3,3,Transformation Digitale,Y,Occasionnel,1,7
Non,1,3,1,000001124,3,1,Marketing,Y,Occasionnel,4,9
Non,0,2,1,000001125,2,2,Marketing,Y,Occasionnel,0,0
Non,1,1,1,000001126,27,3,Infra & Cloud,Y,Frequent,0,1
Oui,3,4,1,000001127,2,3,Infra & Cloud,Y,Frequent,11,5
Non,0,2,1,000001128,14,3,Transformation Digitale,Y,Occasionnel,4,9
Non,0,6,1,000001131,1,1,Entrepreunariat,Y,Occasionnel,2,2
Non,0,2,1,000001132,9,3,Infra & Cloud,Y,Aucun,0,3
Non,0,0,1,000001133,18,4,Infra & Cloud,Y,Aucun,0,9
Non,1,4,1,000001135,20,3,Infra & Cloud,Y,Frequent,2,2
Non,0,2,1,000001136,2,1,Infra & Cloud,Y,Occasionnel,0,4
Non,1,3,1,000001137,11,2,Marketing,Y,Frequent,0,2
Non,1,3,1,000001138,8,4,Entrepreunariat,Y,Occasionnel,2,3
Non,0,3,1,000001140,2,2,Infra & Cloud,Y,Frequent,0,2
Non,2,2,1,000001143,10,3,Infra & Cloud,Y,Frequent,1,1
Non,0,3,1,000001148,29,3,Transformation Digitale,Y,Occasionnel,0,0
Non,1,2,1,000001150,8,1,Transformation Digitale,Y,Occasionnel,1,2
Non,1,2,1,000001152,1,3,Ressources Humaines,Y,Occasionnel,5,0
Non,1,2,1,000001154,6,3,Infra & Cloud,Y,Frequent,0,2
Oui,0,0,1,000001156,8,1,Transformation Digitale,Y,Aucun,0,0
Oui,0,3,1,000001157,9,4,Marketing,Y,Occasionnel,0,3
Non,1,4,1,000001158,12,4,Infra & Cloud,Y,Occasionnel,0,0
Oui,1,5,1,000001160,15,3,Transformation Digitale,Y,Frequent,2,2
Non,2,2,1,000001161,25,2,Transformation Digitale,Y,Occasionnel,1,3
Non,1,0,1,000001162,6,3,Infra & Cloud,Y,Occasionnel,2,2
Non,0,3,1,000001163,9,1,Infra & Cloud,Y,Occasionnel,1,3
Non,0,2,1,000001164,8,4,Entrepreunariat,Y,Occasionnel,1,4
Oui,1,3,1,000001165,23,1,Infra & Cloud,Y,Occasionnel,3,10
Non,0,3,1,000001166,9,4,Transformation Digitale,Y,Frequent,2,13
Oui,0,2,1,000001167,12,3,Infra & Cloud,Y,Frequent,13,14
Non,0,3,1,000001171,4,4,Marketing,Y,Occasionnel,1,5
Non,1,2,1,000001172,1,4,Transformation Digitale,Y,Occasionnel,1,7
Non,0,2,1,000001173,24,3,Transformation Digitale,Y,Occasionnel,1,2
Oui,0,4,1,000001175,12,1,Infra & Cloud,Y,Occasionnel,0,0
Non,1,2,1,000001177,3,4,Transformation Digitale,Y,Occasionnel,0,7
Non,1,3,1,000001179,10,3,Marketing,Y,Occasionnel,1,4
Non,1,3,1,000001180,26,2,Transformation Digitale,Y,Frequent,0,0
Non,1,2,1,000001182,2,3,Infra & Cloud,Y,Occasionnel,6,4
Non,0,3,1,000001184,1,3,Transformation Digitale,Y,Frequent,4,9
Non,1,2,1,000001185,4,4,Autre,Y,Frequent,2,2
Oui,0,2,1,000001188,9,3,Marketing,Y,Occasionnel,1,3
Non,3,3,1,000001190,2,1,Infra & Cloud,Y,Aucun,0,0
Non,1,2,1,000001191,4,4,Entrepreunariat,Y,Occasionnel,4,2
Non,1,5,1,000001192,6,1,Transformation Digitale,Y,Occasionnel,0,8
Non,0,4,1,000001193,9,2,Infra & Cloud,Y,Occasionnel,0,0
Non,1,2,1,000001195,7,3,Transformation Digitale,Y,Occasionnel,0,2
Non,1,2,1,000001196,1,3,Infra & Cloud,Y,Occasionnel,3,11
Non,0,2,1,000001198,3,3,Infra & Cloud,Y,Occasionnel,1,2
Oui,0,4,1,000001200,10,4,Infra & Cloud,Y,Occasionnel,0,2
Non,1,6,1,000001201,7,2,Transformation Digitale,Y,Occasionnel,4,7
Non,1,2,1,000001202,15,1,Infra & Cloud,Y,Occasionnel,1,3
Oui,1,5,1,000001203,3,4,Infra & Cloud,Y,Frequent,0,0
Non,0,2,1,000001204,2,3,Marketing,Y,Occasionnel,15,9
Non,0,3,1,000001206,17,3,Infra & Cloud,Y,Aucun,0,0
Non,1,2,1,000001207,2,3,Ressources Humaines,Y,Occasionnel,1,4
Oui,1,2,1,000001210,5,2,Infra & Cloud,Y,Aucun,0,0
Non,3,3,1,000001211,29,4,Infra & Cloud,Y,Occasionnel,0,3
Non,3,2,1,000001212,2,4,Transformation Digitale,Y,Frequent,0,0
Non,1,3,1,000001215,2,3,Transformation Digitale,Y,Frequent,2,2
Non,3,2,1,000001216,19,4,Transformation Digitale,Y,Occasionnel,3,3
Non,1,2,1,000001217,15,2,Infra & Cloud,Y,Occasionnel,0,3
Non,3,2,1,000001218,17,4,Infra & Cloud,Y,Occasionnel,1,7
Oui,1,3,1,000001219,17,2,Infra & Cloud,Y,Occasionnel,0,0
Non,1,3,1,000001220,25,3,Transformation Digitale,Y,Frequent,0,1
Non,1,4,1,000001221,6,4,Infra & Cloud,Y,Occasionnel,1,7
Non,3,4,1,000001224,7,4,Infra & Cloud,Y,Occasionnel,8,9
Non,0,3,1,000001225,29,4,Autre,Y,Occasionnel,13,17
Non,0,2,1,000001226,21,3,Marketing,Y,Occasionnel,2,2
Non,1,3,1,000001228,2,4,Entrepreunariat,Y,Occasionnel,1,4
Non,1,3,1,000001231,2,5,Transformation Digitale,Y,Aucun,0,3
Non,1,3,1,000001233,7,4,Marketing,Y,Occasionnel,1,9
Non,1,2,1,000001234,13,3,Autre,Y,Frequent,2,2
Non,0,2,1,000001235,2,2,Infra & Cloud,Y,Frequent,0,7
Non,1,2,1,000001237,1,3,Entrepreunariat,Y,Occasionnel,7,7
Non,1,5,1,000001238,9,3,Transformation Digitale,Y,Occasionnel,4,10
Non,1,2,1,000001239,10,3,Entrepreunariat,Y,Occasionnel,1,3
Non,0,4,1,000001240,10,4,Infra & Cloud,Y,Occasionnel,1,1
Non,1,2,1,000001241,1,3,Transformation Digitale,Y,Occasionnel,5,7
Non,0,6,1,000001242,26,5,Transformation Digitale,Y,Frequent,0,0
Non,1,6,1,000001243,8,2,Marketing,Y,Aucun,4,12
Non,2,3,1,000001244,14,3,Infra & Cloud,Y,Occasionnel,6,8
Non,1,2,1,000001245,1,4,Infra & Cloud,Y,Frequent,1,4
Non,1,5,1,000001246,2,1,Infra & Cloud,Y,Occasionnel,7,7
Oui,0,2,1,000001248,10,3,Transformation Digitale,Y,Aucun,0,0
Non,3,5,1,000001249,1,3,Infra & Cloud,Y,Occasionnel,1,2
Non,0,2,1,000001250,3,3,Infra & Cloud,Y,Occasionnel,0,9
Non,0,2,1,000001251,11,2,Transformation Digitale,Y,Occasionnel,0,1
Non,0,2,1,000001252,24,3,Transformation Digitale,Y,Occasionnel,1,8
Non,0,2,1,000001254,3,3,Infra & Cloud,Y,Occasionnel,0,5
Non,1,2,1,000001255,3,3,Infra & Cloud,Y,Occasionnel,0,7
Non,1,2,1,000001256,4,2,Transformation Digitale,Y,Occasionnel,0,0
Non,0,2,1,000001257,3,3,Entrepreunariat,Y,Frequent,0,7
Non,0,4,1,000001258,2,2,Entrepreunariat,Y,Occasionnel,0,0
Non,3,2,1,000001259,4,2,Infra & Cloud,Y,Occasionnel,0,3
Non,2,2,1,000001260,7,3,Infra & Cloud,Y,Occasionnel,1,0
Non,0,3,1,000001263,1,3,Infra & Cloud,Y,Occasionnel,0,0
Non,2,2,1,000001264,1,3,Infra & Cloud,Y,Occasionnel,1,7
Non,0,5,1,000001265,20,3,Entrepreunariat,Y,Occasionnel,0,0
Non,1,5,1,000001267,5,3,Marketing,Y,Occasionnel,3,10
Non,2,3,1,000001268,10,5,Marketing,Y,Occasionnel,0,8
Non,0,2,1,000001269,25,3,Infra & Cloud,Y,Occasionnel,0,1
Non,1,2,1,000001270,1,2,Infra & Cloud,Y,Occasionnel,0,1
Oui,0,4,1,000001273,24,1,Infra & Cloud,Y,Frequent,1,0
Non,0,2,1,000001275,4,2,Infra & Cloud,Y,Occasionnel,2,2
Oui,0,2,1,000001277,2,3,Marketing,Y,Occasionnel,1,11
Non,1,3,1,000001278,8,1,Transformation Digitale,Y,Aucun,15,0
Oui,0,2,1,000001279,10,2,Infra & Cloud,Y,Frequent,2,2
Non,1,2,1,000001280,4,2,Marketing,Y,Occasionnel,0,8
Non,0,3,1,000001281,2,3,Marketing,Y,Occasionnel,0,2
Non,1,5,1,000001282,9,3,Infra & Cloud,Y,Frequent,11,10
Non,0,6,1,000001283,18,4,Transformation Digitale,Y,Occasionnel,5,4
Non,2,2,1,000001285,19,3,Transformation Digitale,Y,Frequent,5,10
Non,0,2,1,000001286,1,4,Transformation Digitale,Y,Frequent,0,2
Non,2,4,1,000001288,4,2,Infra & Cloud,Y,Occasionnel,14,13
Non,2,5,1,000001289,11,3,Infra & Cloud,Y,Frequent,1,8
Non,0,3,1,000001291,6,1,Infra & Cloud,Y,Occasionnel,2,2
Non,0,2,1,000001292,7,4,Transformation Digitale,Y,Occasionnel,0,0
Non,0,3,1,000001293,4,4,Marketing,Y,Occasionnel,15,17
Non,0,2,1,000001294,2,4,Infra & Cloud,Y,Occasionnel,5,12
Oui,1,2,1,000001295,15,3,Transformation Digitale,Y,Occasionnel,0,5
Non,1,2,1,000001296,2,3,Infra & Cloud,Y,Frequent,2,2
Non,0,6,1,000001297,6,2,Transformation Digitale,Y,Frequent,7,7
Non,0,3,1,000001298,9,2,Transformation Digitale,Y,Aucun,1,7
Oui,2,2,1,000001299,7,3,Entrepreunariat,Y,Occasionnel,7,7
Non,0,2,1,000001301,1,3,Entrepreunariat,Y,Occasionnel,1,2
Non,0,3,1,000001303,1,3,Transformation Digitale,Y,Occasionnel,2,1
Non,2,4,1,000001304,8,3,Transformation Digitale,Y,Occasionnel,0,8
Non,0,4,1,000001306,25,3,Transformation Digitale,Y,Frequent,0,0
Non,2,4,1,000001307,13,4,Transformation Digitale,Y,Occasionnel,15,2
Non,2,3,1,000001308,23,4,Infra & Cloud,Y,Occasionnel,2,2
Oui,1,3,1,000001309,7,2,Infra & Cloud,Y,Occasionnel,1,1
Oui,0,2,1,000001310,23,3,Transformation Digitale,Y,Occasionnel,0,3
Non,1,6,1,000001311,6,3,Entrepreunariat,Y,Occasionnel,6,7
Non,0,0,1,000001312,10,4,Entrepreunariat,Y,Occasionnel,1,7
Non,0,3,1,000001314,1,2,Infra & Cloud,Y,Occasionnel,5,7
Non,3,6,1,000001315,1,3,Infra & Cloud,Y,Aucun,7,5
Non,0,2,1,000001317,28,3,Infra & Cloud,Y,Occasionnel,1,2
Oui,0,2,1,000001318,25,4,Marketing,Y,Occasionnel,1,0
Oui,0,2,1,000001319,5,3,Infra & Cloud,Y,Occasionnel,7,7
Non,2,2,1,000001321,17,4,Transformation Digitale,Y,Occasionnel,0,8
Non,0,6,1,000001322,18,2,Infra & Cloud,Y,Occasionnel,1,7
Non,1,5,1,000001324,2,4,Infra & Cloud,Y,Aucun,9,6
Non,0,4,1,000001329,10,2,Transformation Digitale,Y,Aucun,11,9
Oui,0,2,1,000001331,1,3,Infra & Cloud,Y,Frequent,2,2
Oui,0,4,1,000001333,3,3,Infra & Cloud,Y,Occasionnel,1,2
Non,0,3,1,000001334,2,1,Infra & Cloud,Y,Aucun,2,10
Non,1,5,1,000001336,2,2,Transformation Digitale,Y,Occasionnel,9,11
Non,0,4,1,000001338,8,4,Infra & Cloud,Y,Occasionnel,7,7
Non,1,0,1,000001340,16,2,Infra & Cloud,Y,Aucun,0,0
Non,1,0,1,000001344,9,3,Infra & Cloud,Y,Occasionnel,1,6
Non,0,4,1,000001346,2,3,Infra & Cloud,Y,Occasionnel,8,8
Non,1,2,1,000001349,1,3,Marketing,Y,Frequent,1,7
Non,0,3,1,000001350,4,4,Infra & Cloud,Y,Frequent,1,1
Non,1,2,1,000001352,5,3,Infra & Cloud,Y,Occasionnel,0,10
Non,1,3,1,000001355,2,2,Infra & Cloud,Y,Occasionnel,1,7
Non,0,6,1,000001356,15,2,Transformation Digitale,Y,Occasionnel,9,6
Non,3,6,1,000001358,19,1,Transformation Digitale,Y,Occasionnel,1,2
Oui,0,0,1,000001360,7,4,Transformation Digitale,Y,Occasionnel,5,9
Non,1,3,1,000001361,1,4,Infra & Cloud,Y,Occasionnel,0,3
Non,1,2,1,000001362,7,3,Marketing,Y,Frequent,6,13
Non,0,2,1,000001363,4,3,Infra & Cloud,Y,Occasionnel,0,8
Non,1,4,1,000001364,11,3,Transformation Digitale,Y,Occasionnel,0,0
Non,0,1,1,000001367,11,2,Entrepreunariat,Y,Occasionnel,0,3
Non,0,5,1,000001368,1,3,Infra & Cloud,Y,Aucun,0,0
Non,1,0,1,000001369,1,3,Transformation Digitale,Y,Occasionnel,0,0
Non,0,3,1,000001371,2,1,Infra & Cloud,Y,Frequent,0,0
Oui,0,2,1,000001372,13,4,Marketing,Y,Occasionnel,3,8
Non,1,0,1,000001373,23,3,Infra & Cloud,Y,Occasionnel,15,9
Non,3,2,1,000001374,26,1,Entrepreunariat,Y,Aucun,0,0
Non,3,0,1,000001375,2,1,Transformation Digitale,Y,Occasionnel,11,8
Non,2,1,1,000001377,29,3,Transformation Digitale,Y,Occasionnel,7,7
Oui,0,3,1,000001379,2,3,Infra & Cloud,Y,Frequent,0,0
Oui,1,0,1,000001380,18,4,Marketing,Y,Frequent,3,2
Non,3,2,1,000001382,7,3,Infra & Cloud,Y,Frequent,0,3
Non,0,2,1,000001383,2,4,Entrepreunariat,Y,Occasionnel,4,11
Non,1,0,1,000001387,26,3,Infra & Cloud,Y,Occasionnel,0,4
Oui,2,3,1,000001389,22,4,Transformation Digitale,Y,Occasionnel,6,7
Non,2,2,1,000001390,21,4,Infra & Cloud,Y,Occasionnel,1,4
Non,0,5,1,000001391,2,3,Marketing,Y,Frequent,3,2
Non,2,4,1,000001392,22,3,Infra & Cloud,Y,Frequent,3,3
Non,0,2,1,000001394,4,1,Infra & Cloud,Y,Occasionnel,1,3
Non,0,2,1,000001395,5,1,Infra & Cloud,Y,Frequent,1,2
Non,3,3,1,000001396,2,1,Marketing,Y,Occasionnel,1,2
Non,1,2,1,000001397,25,2,Infra & Cloud,Y,Aucun,0,5
Non,0,3,1,000001399,18,1,Infra & Cloud,Y,Occasionnel,1,2
Non,1,3,1,000001401,28,2,Transformation Digitale,Y,Frequent,0,2
Non,0,3,1,000001402,6,3,Transformation Digitale,Y,Occasionnel,1,8
Non,0,3,1,000001403,10,3,Marketing,Y,Occasionnel,4,4
Oui,0,2,1,000001405,17,4,Infra & Cloud,Y,Occasionnel,7,7
Non,0,2,1,000001407,2,1,Transformation Digitale,Y,Occasionnel,1,1
Non,1,5,1,000001408,10,3,Ressources Humaines,Y,Occasionnel,0,9
Non,0,2,1,000001409,8,4,Autre,Y,Occasionnel,0,4
Non,0,6,1,000001411,11,3,Transformation Digitale,Y,Occasionnel,0,2
Non,0,2,1,000001412,18,2,Infra & Cloud,Y,Frequent,2,2
Non,1,2,1,000001415,1,3,Entrepreunariat,Y,Occasionnel,0,2
Non,0,2,1,000001417,7,3,Autre,Y,Occasionnel,0,7
Non,0,3,1,000001419,17,3,Autre,Y,Occasionnel,0,9
Oui,0,2,1,000001420,28,2,Infra & Cloud,Y,Frequent,1,3
Oui,0,1,1,000001421,14,1,Autre,Y,Frequent,7,7
Non,0,3,1,000001422,1,3,Transformation Digitale,Y,Occasionnel,12,7
Non,1,3,1,000001423,1,3,Transformation Digitale,Y,Occasionnel,1,5
Non,2,4,1,000001424,1,4,Transformation Digitale,Y,Occasionnel,0,0
Non,0,3,1,000001425,3,4,Marketing,Y,Occasionnel,0,1
Oui,0,3,1,000001427,1,4,Infra & Cloud,Y,Frequent,0,0
Non,2,3,1,000001428,7,4,Marketing,Y,Occasionnel,0,2
Non,0,3,1,000001430,8,5,Infra & Cloud,Y,Occasionnel,1,0
Non,2,2,1,000001431,1,4,Autre,Y,Frequent,1,3
Oui,0,3,1,000001433,8,3,Infra & Cloud,Y,Occasionnel,0,0
Non,0,3,1,000001434,11,1,Infra & Cloud,Y,Occasionnel,1,4
Non,0,2,1,000001435,4,4,Infra & Cloud,Y,Occasionnel,1,8
Non,2,3,1,000001436,16,4,Marketing,Y,Occasionnel,0,2
Non,1,2,1,000001438,1,3,Entrepreunariat,Y,Occasionnel,1,2
Oui,0,2,1,000001439,9,2,Infra & Cloud,Y,Occasionnel,2,2
Non,0,2,1,000001440,5,2,Entrepreunariat,Y,Aucun,1,3
Non,1,3,1,000001441,1,2,Infra & Cloud,Y,Occasionnel,1,0
Non,2,2,1,000001443,2,4,Transformation Digitale,Y,Occasionnel,5,6
Non,2,3,1,000001445,4,1,Transformation Digitale,Y,Occasionnel,0,3
Non,1,3,1,000001446,7,5,Marketing,Y,Occasionnel,0,3
Non,1,2,1,000001447,1,3,Infra & Cloud,Y,Occasionnel,0,2
Non,0,5,1,000001448,5,5,Transformation Digitale,Y,Occasionnel,0,3
Non,2,2,1,000001449,9,4,Autre,Y,Aucun,0,7
Non,1,5,1,000001453,8,2,Infra & Cloud,Y,Occasionnel,9,9
Oui,1,1,1,000001457,9,3,Marketing,Y,Occasionnel,4,3
Oui,0,2,1,000001458,2,3,Infra & Cloud,Y,Aucun,0,0
Oui,0,2,1,000001459,1,5,Infra & Cloud,Y,Frequent,4,7
Non,1,2,1,000001460,20,3,Transformation Digitale,Y,Occasionnel,0,7
Non,0,3,1,000001461,8,2,Transformation Digitale,Y,Occasionnel,0,2
Oui,1,2,1,000001464,2,3,Infra & Cloud,Y,Frequent,2,2
Non,2,4,1,000001465,29,3,Entrepreunariat,Y,Occasionnel,1,2
Non,3,3,1,000001466,7,3,Marketing,Y,Occasionnel,2,2
Oui,0,0,1,000001467,9,4,Entrepreunariat,Y,Occasionnel,2,2
Non,1,5,1,000001468,8,1,Transformation Digitale,Y,Aucun,4,8
Non,0,4,1,000001469,5,3,Transformation Digitale,Y,Occasionnel,1,3
Non,0,5,1,000001471,5,3,Infra & Cloud,Y,Aucun,0,3
Non,0,2,1,000001472,2,3,Transformation Digitale,Y,Occasionnel,8,8
Non,1,0,1,000001473,5,4,Entrepreunariat,Y,Occasionnel,1,2
Non,1,3,1,000001474,2,3,Transformation Digitale,Y,Occasionnel,1,2
Non,0,3,1,000001475,20,3,Infra & Cloud,Y,Occasionnel,1,3
Non,2,2,1,000001477,7,3,Transformation Digitale,Y,Frequent,0,3
Non,0,2,1,000001478,3,3,Autre,Y,Occasionnel,3,12
Non,2,2,1,000001479,16,1,Infra & Cloud,Y,Occasionnel,2,2
Non,0,3,1,000001480,9,2,Transformation Digitale,Y,Frequent,5,8
Non,1,4,1,000001481,1,5,Marketing,Y,Frequent,0,0
Non,2,2,1,000001482,7,3,Entrepreunariat,Y,Aucun,0,0
Non,1,2,1,000001483,1,2,Infra & Cloud,Y,Occasionnel,2,8
Non,2,3,1,000001484,7,4,Infra & Cloud,Y,Occasionnel,0,7
Non,2,3,1,000001485,15,3,Transformation Digitale,Y,Frequent,6,9
Oui,1,3,1,000001486,1,3,Entrepreunariat,Y,Frequent,1,2
Oui,0,4,1,000001487,13,3,Entrepreunariat,Y,Frequent,0,0
Oui,0,2,1,000001489,24,4,Transformation Digitale,Y,Occasionnel,10,10
Non,1,3,1,000001492,7,1,Infra & Cloud,Y,Occasionnel,0,0
Oui,0,2,1,000001494,9,3,Transformation Digitale,Y,Frequent,0,0
Non,1,2,1,000001495,13,2,Infra & Cloud,Y,Aucun,0,0
Non,0,2,1,000001496,2,1,Transformation Digitale,Y,Frequent,2,2
Non,2,3,1,000001497,19,3,Infra & Cloud,Y,Occasionnel,0,4
Non,1,3,1,000001499,1,3,Infra & Cloud,Y,Occasionnel,1,3
Non,0,2,1,000001501,4,4,Infra & Cloud,Y,Occasionnel,1,2
Non,0,5,1,000001502,4,4,Transformation Digitale,Y,Occasionnel,0,2
